raw_name,canonical_name,confidence_score,method,entity_type,timestamp
openbmb,Openbmb,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.418634+00:00
Qwen,Qwen,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.418836+00:00
Qwen,Qwen,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.419043+00:00
black-forest-labs,Black Forest Labs,1.0,EXACT_ALIAS,STARTUP,2026-08-28T20:04:33.419278+00:00
pliny-the-prompter,Pliny The Prompter,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.419298+00:00
linoyts,Linoyts,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.419651+00:00
akhaliq,Akhaliq,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.419859+00:00
HuggingFaceM4,Hugging Face,0.969,FUZZY_MATCH,STARTUP,2026-08-28T20:04:33.420096+00:00
OPI-PIB,Opi Pib,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.420311+00:00
hugging-apps,Hugging Face,0.891,FUZZY_MATCH,STARTUP,2026-08-28T20:04:33.420531+00:00
seedleap,Seedleap,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.420793+00:00
openai,OpenAI,1.0,EXACT_ALIAS,STARTUP,2026-08-28T20:04:33.421032+00:00
jbilcke-hf,Jbilcke Hf,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.421055+00:00
lerobot,Lerobot,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.421517+00:00
black-forest-labs,Black Forest Labs,1.0,EXACT_ALIAS,STARTUP,2026-08-28T20:04:33.421876+00:00
Memfice,Memfice,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.421913+00:00
r3gm,R3Gm,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.422244+00:00
cbensimon,Cbensimon,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.422609+00:00
prithivMLmods,prithivMLmods,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.422934+00:00
baidu,Baidu,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.423164+00:00
Kaustubh86,Kaustubh86,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.423398+00:00
hugging-apps,Hugging Face,0.891,FUZZY_MATCH,STARTUP,2026-08-28T20:04:33.423642+00:00
STCM,Stcm,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.424085+00:00
Alissonerdx,Alissonerdx,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.424444+00:00
multimodalart,Multimodalart,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.424839+00:00
Lynote,Lynote,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.425240+00:00
IndexTeam,IndexTeam,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.425564+00:00
mxderncultxre,Mxderncultxre,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.425925+00:00
kogutt999,Kogutt999,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.426299+00:00
ibm-granite,Ibm Granite,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.426636+00:00
AST-1320,Ast 1320,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.426981+00:00
OraRL,OraRL,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.427381+00:00
akhaliq,Akhaliq,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.427715+00:00
tonyassi,Tonyassi,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.428071+00:00
Kwai-Kolors,Kwai Kolors,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.428452+00:00
Plachta,Plachta,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.428883+00:00
agents-course,Agents Course,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.429229+00:00
SmilingWolf,SmilingWolf,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.429674+00:00
NeuralFalcon,NeuralFalcon,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.430088+00:00
TabArena,TabArena,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.430424+00:00
trellis-community,Trellis Community,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.430795+00:00
Saravutw,Saravutw,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.431204+00:00
SAkizuki,SAkizuki,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.431575+00:00
ifmylove2011,Ifmylove2011,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.431940+00:00
nvidia,Nvidia,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.432283+00:00
HuggingAI4Engineering,HuggingAI4Engineering,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.432627+00:00
techfreakworm,Techfreakworm,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.432983+00:00
stabilityai,Stability AI,1.0,EXACT_ALIAS,STARTUP,2026-08-28T20:04:33.433346+00:00
jsoren,Jsoren,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.433382+00:00
ovi054,Ovi054,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.433731+00:00
webml-community,Webml Community,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.434063+00:00
kulkas2pintu,Kulkas2Pintu,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.434468+00:00
elfret,Elfret,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.434751+00:00
hugging-apps,Hugging Face,0.891,FUZZY_MATCH,STARTUP,2026-08-28T20:04:33.434958+00:00
rlthomasgames,Rlthomasgames,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.435205+00:00
hugging-apps,Hugging Face,0.891,FUZZY_MATCH,STARTUP,2026-08-28T20:04:33.435412+00:00
bookbot,Bookbot,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.435644+00:00
lmarena-ai,Lmarena,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.435890+00:00
tonyassi,Tonyassi,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.436126+00:00
amphion,Amphion,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.436337+00:00
r3gm,R3Gm,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.436631+00:00
innoai,Innoai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.436842+00:00
innova-ai,Innova,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.437043+00:00
gimbx,Gimbx,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.437238+00:00
Asahina2K,Asahina2K,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.437480+00:00
