schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,collectedAt
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/RelevanceAI,RelevanceAI,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/All-About-AI-YouTube,All About YouTube,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/NovelAI,NovelAI,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/ai4co,Ai4Co,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/epoch-research,Epoch Research,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/boostcampaitech3,Boostcampaitech3,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/ai-hero-dev,Hero Dev,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/Infrasys-AI,Infrasys,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/wit-ai,Wit,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/tetsuo-ai,Tetsuo,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/sendaifun,Sendaifun,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/redis-applied-ai,Redis Applied,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/HFAiLab,HFAiLab,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/ail-project,Ail Project,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/SandAI-org,SandAI org,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/aisuda,Aisuda,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/aidotse,Aidotse,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/v-modal,Modal Labs,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/run-ai,RunPod,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/The-AI-Summer,The Summer,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/oraios,Oraios,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/ailia-ai,Ailia,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/Dao-AILab,Dao AILab,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/h2oai,H2Oai,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/Trae-AI,Trae,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/confident-ai,Confident,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/AI4EPS,Ai4Eps,,2026-08-28T20:04:31.731436+00:00
